120000, 5, 4.342160e+07
300000, 5, 4.187777e+07
600000, 5, 3.469048e+07
900000, 5, 3.469048e+07
1200000, 5, 3.393269e+07
1500000, 5, 3.303270e+07
1800000, 5, 2.983618e+07
2100000, 5, 2.707974e+07
2400000, 5, 2.685846e+07
2700000, 5, 2.658370e+07
3000000, 5, 2.592959e+07
120000, 5, 4.345793e+07
300000, 5, 4.229704e+07
600000, 5, 4.028089e+07
900000, 5, 3.963091e+07
1200000, 5, 3.754260e+07
1500000, 5, 3.602619e+07
1800000, 5, 3.489842e+07
2100000, 5, 2.943582e+07
2400000, 5, 2.652088e+07
2700000, 5, 2.585999e+07
3000000, 5, 2.505766e+07
120000, 5, 4.351607e+07
120000, 5, 4.338512e+07
300000, 5, 4.163796e+07
600000, 5, 3.990643e+07
900000, 5, 3.868214e+07
1200000, 5, 3.597550e+07
1500000, 5, 3.500770e+07
1800000, 5, 3.339754e+07
2100000, 5, 2.729275e+07
2400000, 5, 2.602791e+07
2700000, 5, 2.515373e+07
3000000, 5, 2.503423e+07
120000, 5, 4.342150e+07
300000, 5, 4.199345e+07
600000, 5, 3.999189e+07
900000, 5, 3.973601e+07
1200000, 5, 3.814009e+07
1500000, 5, 3.749801e+07
1800000, 5, 3.670557e+07
2100000, 5, 3.416670e+07
2400000, 5, 3.202114e+07
2700000, 5, 3.113340e+07
3000000, 5, 3.113340e+07
120000, 5, 4.343842e+07
300000, 5, 4.223384e+07
600000, 5, 3.988983e+07
900000, 5, 3.816884e+07
1200000, 5, 3.733455e+07
1500000, 5, 3.617480e+07
1800000, 5, 3.598370e+07
2100000, 5, 3.388174e+07
2400000, 5, 3.342909e+07
2700000, 5, 3.292840e+07
3000000, 5, 3.268145e+07
